ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11192192,JA569429,12/31/2017 10:51:00 PM,003XX E 47TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,CONVENIENCE STORE,,,224,2,3,38,04A,1179366,1873936,2017,2018 May 04 3:51:04 PM,41.809366548,-87.617635185,"(41.809366548°, -87.617635185°)"
11192236,JA569451,12/31/2017 10:45:00 PM,019XX N SAWYER AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,,,1421,14,35,22,04B,1154272,1912759,2017,2018 May 04 3:51:04 PM,41.916437744,-87.708639808,"(41.916437744°, -87.708639808°)"
11196662,JA569446,12/31/2017 10:45:00 PM,077XX S COLFAX AVE,460,BATTERY,SIMPLE,APARTMENT,,,421,4,7,43,08B,1194864,1854159,2017,2018 May 04 3:51:04 PM,41.754728984,-87.561443469,"(41.754728984°, -87.561443469°)"
11196339,JB105828,12/31/2017 10:37:00 PM,013XX S KOMENSKY AVE,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,APARTMENT,✓,,1011,10,24,29,26,1149598,1893420,2017,2018 May 04 3:51:04 PM,41.863461605,-87.726314672,"(41.863461605°, -87.726314672°)"
11192259,JA569432,12/31/2017 10:37:00 PM,028XX W MARQUETTE RD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),,,831,8,15,66,14,1158782,1860091,2017,2018 May 04 3:51:04 PM,41.771819552,-87.693511744,"(41.771819552°, -87.693511744°)"
11192230,JA569440,12/31/2017 10:37:00 PM,013XX S KOMENSKY AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,✓,,1011,10,24,29,15,1149598,1893420,2017,2018 May 04 3:51:04 PM,41.863461605,-87.726314672,"(41.863461605°, -87.726314672°)"
11192195,JA569433,12/31/2017 10:35:00 PM,007XX W 79TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,✓,,621,6,17,71,15,1172588,1852486,2017,2018 May 04 3:51:04 PM,41.750657503,-87.643127042,"(41.750657503°, -87.643127042°)"
11192196,JA569459,12/31/2017 10:31:00 PM,035XX N CLARK ST,1330,CRIMINAL TRESPASS,TO LAND,SIDEWALK,✓,,1924,19,44,6,26,1168657,1923609,2017,2018 May 04 3:51:04 PM,41.945910991,-87.655474824,"(41.945910991°, -87.655474824°)"
11193702,JB102221,12/31/2017 10:30:00 PM,077XX S KINGSTON AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,,,421,4,7,43,7,1194533,1854177,2017,2018 May 04 3:51:04 PM,41.754786521,-87.562655871,"(41.754786521°, -87.562655871°)"
11196292,JB105776,12/31/2017 10:30:00 PM,055XX W CONGRESS PKWY,810,THEFT,OVER $500,RESIDENCE,,,1522,15,29,25,6,1139707,1897139,2017,2018 May 04 3:51:04 PM,41.873853214,-87.762533524,"(41.873853214°, -87.762533524°)"
