,station_id,name,latitude,longitude,dockcount,landmark,installation_date,trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
61,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,183811,1737,02/13/2014 17:09:00,Japantown,9,02/13/2014 17:38:00,Japantown,9,157,95112,Subscriber
62,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,110543,1172,11/29/2013 4:06:00,Japantown,9,11/29/2013 4:26:00,Japantown,9,697,95112,Subscriber
63,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,42305,786,10/01/2013 23:37:00,Japantown,9,10/01/2013 23:50:00,Japantown,9,99,95112,Subscriber
64,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,1245969,894,06/19/2016 20:43:00,Japantown,9,06/19/2016 20:58:00,Japantown,9,661,95112,Subscriber
65,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,12073,68,09/06/2013 8:05:00,Japantown,9,09/06/2013 8:06:00,Japantown,9,80,95112,Subscriber
66,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,422257,8858,08/24/2014 20:22:00,Japantown,9,08/24/2014 22:49:00,Japantown,9,15,95112,Subscriber
67,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,103447,524,11/21/2013 15:52:00,Japantown,9,11/21/2013 16:00:00,Japantown,9,88,95112,Subscriber
68,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,264601,440,04/29/2014 9:23:00,Japantown,9,04/29/2014 9:30:00,Japantown,9,221,95122,Subscriber
69,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,542795,917,11/13/2014 9:16:00,Japantown,9,11/13/2014 9:31:00,Japantown,9,668,95122,Subscriber
70,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,560981,621,11/29/2014 16:18:00,Japantown,9,11/29/2014 16:29:00,Japantown,9,117,95122,Subscriber
71,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,519238,1430,10/28/2014 16:07:00,Japantown,9,10/28/2014 16:31:00,Japantown,9,26,95122,Subscriber
72,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,207412,955,03/09/2014 18:41:00,Japantown,9,03/09/2014 18:57:00,Japantown,9,156,95122,Subscriber
73,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,284893,317,05/15/2014 8:02:00,Japantown,9,05/15/2014 8:08:00,Japantown,9,709,95122,Subscriber
74,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,555992,857,11/24/2014 9:38:00,Japantown,9,11/24/2014 9:53:00,Japantown,9,159,95122,Subscriber
75,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,199784,640,03/03/2014 8:27:00,Japantown,9,03/03/2014 8:38:00,Japantown,9,74,95122,Subscriber
76,21,Franklin at Maple,37.481758,-122.226904,15,Redwood City,08/12/2013 0:00:00,957659,587,10/05/2015 16:41:00,Sequoia Hospital,21,10/05/2015 16:51:00,Mezes,83,650,94063,Subscriber
77,24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,08/12/2013 0:00:00,1114916,1642,03/03/2016 21:54:00,Redwood City Public Library,24,03/03/2016 22:22:00,Mezes,83,208,94063,Customer
78,24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,08/12/2013 0:00:00,1114919,1377,03/03/2016 22:00:00,Redwood City Public Library,24,03/03/2016 22:23:00,Mezes,83,52,94063,Customer
79,24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,08/12/2013 0:00:00,984088,422,10/24/2015 14:20:00,Redwood City Public Library,24,10/24/2015 14:27:00,Mezes,83,121,94063,Subscriber
80,24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,08/12/2013 0:00:00,984411,536,10/25/2015 12:45:00,Redwood City Public Library,24,10/25/2015 12:54:00,Mezes,83,138,94063,Subscriber
81,24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,08/12/2013 0:00:00,984412,487,10/25/2015 12:45:00,Redwood City Public Library,24,10/25/2015 12:53:00,Mezes,83,686,94063,Subscriber
82,24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,08/12/2013 0:00:00,984087,451,10/24/2015 14:20:00,Redwood City Public Library,24,10/24/2015 14:27:00,Mezes,83,52,94063,Subscriber
83,26,Redwood City Medical Center,37.487682,-122.223492,15,Redwood City,08/12/2013 0:00:00,1092841,1021,02/14/2016 5:25:00,Kaiser Hospital,26,02/14/2016 5:42:00,Mezes,83,246,94025,Subscriber
84,23,San Mateo County Center,37.487615999999996,-122.229951,15,Redwood City,08/15/2013 0:00:00,1102613,1334,02/23/2016 12:00:00,San Mateo County Center,23,02/23/2016 12:22:00,Mezes,83,174,93292,Customer
85,23,San Mateo County Center,37.487615999999996,-122.229951,15,Redwood City,08/15/2013 0:00:00,1047069,1113,12/25/2015 13:17:00,San Mateo County Center,23,12/25/2015 13:35:00,Mezes,83,149,94063,Subscriber
86,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,984595,5957,10/25/2015 18:12:00,Mezes,83,10/25/2015 19:51:00,Mezes,83,52,nil,Customer
87,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,984596,5913,10/25/2015 18:13:00,Mezes,83,10/25/2015 19:51:00,Mezes,83,121,nil,Customer
88,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,1102641,801,02/23/2016 12:25:00,Mezes,83,02/23/2016 12:39:00,Mezes,83,174,93292,Customer
89,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,944732,2618,09/24/2015 17:22:00,Mezes,83,09/24/2015 18:06:00,Mezes,83,653,94063,Customer
90,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,969490,255,10/13/2015 19:02:00,Mezes,83,10/13/2015 19:07:00,Mezes,83,650,94063,Subscriber
91,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,947105,1008,09/26/2015 12:57:00,Mezes,83,09/26/2015 13:13:00,Mezes,83,157,94063,Subscriber
92,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,1030383,5780,12/06/2015 10:52:00,Mezes,83,12/06/2015 12:28:00,Mezes,83,44,94064,Customer
93,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,1129385,6079,03/18/2016 10:33:00,Mezes,83,03/18/2016 12:14:00,Mezes,83,208,94070,Customer
94,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,1129386,6032,03/18/2016 10:33:00,Mezes,83,03/18/2016 12:13:00,Mezes,83,155,94070,Customer
95,83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,02/20/2014 0:00:00,1011650,60,11/16/2015 18:54:00,Mezes,83,11/16/2015 18:55:00,Mezes,83,35,94124,Subscriber
96,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1029835,301,12/04/2015 17:32:00,Redwood City Caltrain Station,22,12/04/2015 17:37:00,Mezes,83,155,94063,Subscriber
97,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,987584,325,10/27/2015 17:32:00,Redwood City Caltrain Station,22,10/27/2015 17:38:00,Mezes,83,52,94063,Subscriber
98,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1009081,385,11/13/2015 17:09:00,Redwood City Caltrain Station,22,11/13/2015 17:15:00,Mezes,83,199,94063,Subscriber
99,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1213934,285,05/24/2016 18:07:00,Redwood City Caltrain Station,22,05/24/2016 18:12:00,Mezes,83,91,94063,Subscriber
100,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1130156,261,03/18/2016 20:49:00,Redwood City Caltrain Station,22,03/18/2016 20:53:00,Mezes,83,177,94063,Subscriber
